id,question_id,isTrue,answer,explanation,indexation
1,1,0,Réponse 1,Explication,1
2,1,1,Réponse 2,Explication,2
3,1,0,Réponse 3,Explication,3
4,1,1,Réponse 4,Explication,4
5,1,0,Réponse 5,Explication,5
6,2,1,Réponse 1,Explication,1
7,2,0,Réponse 2,Explication,2
8,2,0,Réponse 3,Explication,3
9,2,1,Réponse 4,Explication,4
10,2,0,Réponse 5,Explication,5
11,3,0,Réponse 1,Explication,1
12,3,0,Réponse 2,Explication,2
13,3,0,Réponse 3,Explication,3
14,3,0,Réponse 4,Explication,4
15,3,1,Réponse 5,Explication,5
16,4,0,Réponse 1,Explication,1
17,4,0,Réponse 2,Explication,2
18,4,0,Réponse 3,Explication,3
19,4,0,Réponse 4,Explication,4
20,4,1,Réponse 5,Explication,5
21,5,0,Réponse 1,Explication,1
22,5,1,Réponse 2,Explication,2
23,5,0,Réponse 3,Explication,3
24,5,1,Réponse 4,Explication,4
25,5,0,Réponse 5,Explication,5
26,6,0,Réponse 1,Explication,1
27,6,0,Réponse 2,Explication,2
28,6,0,Réponse 3,Explication,3
29,6,1,Réponse 4,Explication,4
30,6,0,Réponse 5,Explication,5
31,7,0,Réponse 1,Explication,1
32,7,0,Réponse 2,Explication,2
33,7,0,Réponse 3,Explication,3
34,7,1,Réponse 4,Explication,4
35,7,1,Réponse 5,Explication,5
36,8,0,Réponse 1,Explication,1
37,8,0,Réponse 2,Explication,2
38,8,1,Réponse 3,Explication,3
39,8,1,Réponse 4,Explication,4
40,8,0,Réponse 5,Explication,5
41,9,0,Réponse 1,Explication,1
42,9,1,Réponse 2,Explication,2
43,9,0,Réponse 3,Explication,3
44,9,0,Réponse 4,Explication,4
45,9,0,Réponse 5,Explication,5
46,10,0,Réponse 1,Explication,1
47,10,0,Réponse 2,Explication,2
48,10,0,Réponse 3,Explication,3
49,10,1,Réponse 4,Explication,4
50,10,1,Réponse 5,Explication,5
51,11,1,Réponse 1,Explication,1
52,11,0,Réponse 2,Explication,2
53,11,0,Réponse 3,Explication,3
54,11,1,Réponse 4,Explication,4
55,11,0,Réponse 5,Explication,5
56,12,1,Réponse 1,Explication,1
57,12,1,Réponse 2,Explication,2
58,12,0,Réponse 3,Explication,3
59,12,0,Réponse 4,Explication,4
60,12,0,Réponse 5,Explication,5
61,13,0,Réponse 1,Explication,1
62,13,0,Réponse 2,Explication,2
63,13,0,Réponse 3,Explication,3
64,13,0,Réponse 4,Explication,4
65,13,1,Réponse 5,Explication,5
66,14,0,Réponse 1,Explication,1
67,14,0,Réponse 2,Explication,2
68,14,0,Réponse 3,Explication,3
69,14,0,Réponse 4,Explication,4
70,14,1,Réponse 5,Explication,5
71,15,0,Réponse 1,Explication,1
72,15,0,Réponse 2,Explication,2
73,15,0,Réponse 3,Explication,3
74,15,1,Réponse 4,Explication,4
75,15,0,Réponse 5,Explication,5
76,16,0,Réponse 1,Explication,1
77,16,0,Réponse 2,Explication,2
78,16,1,Réponse 3,Explication,3
79,16,0,Réponse 4,Explication,4
80,16,1,Réponse 5,Explication,5
81,17,0,Réponse 1,Explication,1
82,17,1,Réponse 2,Explication,2
83,17,1,Réponse 3,Explication,3
84,17,0,Réponse 4,Explication,4
85,17,0,Réponse 5,Explication,5
86,18,0,Réponse 1,Explication,1
87,18,0,Réponse 2,Explication,2
88,18,1,Réponse 3,Explication,3
89,18,0,Réponse 4,Explication,4
90,18,0,Réponse 5,Explication,5
91,19,0,Réponse 1,Explication,1
92,19,0,Réponse 2,Explication,2
93,19,0,Réponse 3,Explication,3
94,19,1,Réponse 4,Explication,4
95,19,0,Réponse 5,Explication,5
96,20,1,Réponse 1,Explication,1
97,20,1,Réponse 2,Explication,2
98,20,0,Réponse 3,Explication,3
99,20,0,Réponse 4,Explication,4
100,20,0,Réponse 5,Explication,5
101,21,0,Réponse 1,Explication,1
102,21,0,Réponse 2,Explication,2
103,21,0,Réponse 3,Explication,3
104,21,0,Réponse 4,Explication,4
105,21,1,Réponse 5,Explication,5
106,22,0,Réponse 1,Explication,1
107,22,1,Réponse 2,Explication,2
108,22,0,Réponse 3,Explication,3
109,22,1,Réponse 4,Explication,4
110,22,0,Réponse 5,Explication,5
111,23,1,Réponse 1,Explication,1
112,23,1,Réponse 2,Explication,2
113,23,0,Réponse 3,Explication,3
114,23,0,Réponse 4,Explication,4
115,23,0,Réponse 5,Explication,5
116,24,0,Réponse 1,Explication,1
117,24,1,Réponse 2,Explication,2
118,24,0,Réponse 3,Explication,3
119,24,0,Réponse 4,Explication,4
120,24,0,Réponse 5,Explication,5
121,25,1,Réponse 1,Explication,1
122,25,1,Réponse 2,Explication,2
123,25,0,Réponse 3,Explication,3
124,25,0,Réponse 4,Explication,4
125,25,0,Réponse 5,Explication,5
126,26,1,Réponse 1,Explication,1
127,26,1,Réponse 2,Explication,2
128,26,0,Réponse 3,Explication,3
129,26,0,Réponse 4,Explication,4
130,26,0,Réponse 5,Explication,5
131,27,0,Réponse 1,Explication,1
132,27,0,Réponse 2,Explication,2
133,27,0,Réponse 3,Explication,3
134,27,1,Réponse 4,Explication,4
135,27,1,Réponse 5,Explication,5
136,28,0,Réponse 1,Explication,1
